id,vendor_id,buyer_id,invoice_number,amount,issue_date,status,anomaly_type
ecc6b7e7-eb6d-4b9c-add6-05bda7b361c8,f00dd71c-fd06-4f48-85a5-7aa7c6a671b1,59624bd1-e5d8-46c1-9ced-327475d4ef31,INV-957253,53769.02,2024-10-01 00:00:00,paid,fraud_duplicate
3874cce5-aa99-4c9f-80a1-a6b8d03eff7c,2e35818b-30f5-40c3-80dc-76f2c1023916,94d91609-b070-461b-a351-0ab16639cca5,INV-746109,52314.1,2024-02-02 00:00:00,paid,fraud_duplicate
02dc2711-da7f-4dcc-94c6-1390d40a82d8,339e69d7-496d-46ec-8738-4d0d9ca0d7a2,f9335c0d-0afb-405e-808e-8ce360eb7b32,INV-921620,5669.6,2022-07-05 00:00:00,paid,fraud_duplicate
08c62d88-0598-4736-8086-ff3e0a1bf79b,339e69d7-496d-46ec-8738-4d0d9ca0d7a2,e3040227-d482-4d2f-a609-12509c17a3c3,INV-847034,23308.45,2023-04-14 00:00:00,paid,fraud_duplicate
41c9338a-7071-42df-b6b7-9d3faf0e00f6,46a09848-e550-4790-bad4-ffb995564f7f,1ee33e37-afc1-41c2-ae1a-0d76a72e109b,INV-888664,4705.92,2023-07-02 00:00:00,paid,fraud_duplicate
1110c3ef-cbe1-4568-85c0-65ef4443cbbb,695944c8-ba87-49e3-855f-dd7453469864,ccbf29c7-25f2-4f39-9707-3eb00b8a7876,INV-486045,8213.17,2022-01-05 00:00:00,paid,fraud_duplicate
e14cf6fe-d0a4-4fc8-9aa2-fd0b5bb76a97,591c432c-5140-4b7a-ae42-01a94416854c,14b03fa6-976a-48b9-9d78-a3c0e66568b0,INV-884440,29029.08,2023-06-02 00:00:00,paid,fraud_duplicate
1f90e90d-a4e5-4bb5-b249-4b5c12c76fc3,4fc9c8e2-270e-4d21-87e7-8432b8dc658a,b4c1c7a2-4f3c-43ee-828d-0ed11c80973e,INV-057114,16802.97,2024-12-05 00:00:00,paid,fraud_duplicate
6bca34b3-019c-4ced-8448-12370b94ceb7,0879de42-16e8-4ea2-b324-a7a2c788c585,0855a4b9-5554-49d8-bb0d-0f41b5c31b54,INV-988056,52690.06,2022-04-11 00:00:00,paid,fraud_duplicate
b7dccf3e-3529-438f-b81d-114c77837895,a9f9cee8-5837-4d9f-a81f-8fdf8a619baa,f8feecfc-ad40-4442-8986-598fdcfa961c,INV-903082,61143.5,2023-12-22 00:00:00,paid,fraud_duplicate
f5a767f3-a6b4-4c72-a418-385a1ba61a73,3dd9c95c-cbe7-473e-939b-42682813a5f6,9bedd59f-5844-443f-9209-cb628bb8a51a,INV-796059,80650.85,2024-06-19 00:00:00,paid,fraud_duplicate
6c0ac817-3d93-4a37-9613-e423642c4224,e4cb23f0-6441-4a38-96db-372d40b6843c,11f8f399-e8cc-473f-ba02-9985bb644ea4,INV-763695,4035.23,2022-06-01 00:00:00,paid,fraud_duplicate
e49f8d37-52f6-488f-97cb-bbf54104c257,b719ab81-6871-4165-91b1-d1aa0ff8867a,38d3c3e6-28f4-4c7f-984c-b6c1188cb8f9,INV-250366,6194.44,2024-06-02 00:00:00,paid,fraud_duplicate
382e2cd6-5d7d-4144-b90e-5472c144b4af,286de99c-6a69-4c4b-b863-cb07988fe460,6a2b757c-5771-4104-af9d-ffb391f59f41,INV-084315,1963.62,2023-01-28 00:00:00,paid,fraud_duplicate
